reaction_name	molecule_A	molecule_B	bond_type	atom_1	atom_2
new_23_dehydrogenation	"""23-hydroxy-Δ1-2-31-norcycloartenone"""	"""mozukulin A"""	singleR	23	32
new_23_dehydrogenation	"""mozukulin A"""	"""23-hydroxy-Δ1-2-31-norcycloartenone"""	double	23	32
rxn66_27	"""7-dehydrodesmosterol"""	"""desmosterol"""	double	7	8
rxn66_27	"""desmosterol"""	"""7-dehydrodesmosterol"""	single	7	8
rxn66_28	"""cholesterol"""	"""desmosterol"""	single	24	25
rxn66_28	"""desmosterol"""	"""cholesterol"""	double	24	25
rxn_11101	"""3-dehydro-6-deoxoteasterone"""	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	singleR	23	32
rxn_11529	"""(22R,23R)-22,23-dihydroxycampesterol"""	"""(22α)-hydroxy-campest-4-en-3-one"""	double	5	6
rxn_11529	"""(22R,23R)-22,23-dihydroxycampesterol"""	"""(22α)-hydroxy-campest-4-en-3-one"""	single	4	5
rxn_11529	"""(22R,23R)-22,23-dihydroxycampesterol"""	"""(22α)-hydroxy-campest-4-en-3-one"""	singleR	23	32
rxn_11529	"""(22R,23R)-22,23-dihydroxycampesterol"""	"""(22α)-hydroxy-campest-4-en-3-one"""	singleR	3	31
rxn_11529	"""(22α)-hydroxy-campest-4-en-3-one"""	"""(22R,23R)-22,23-dihydroxycampesterol"""	double	3	31
rxn_11529	"""(22α)-hydroxy-campest-4-en-3-one"""	"""(22R,23R)-22,23-dihydroxycampesterol"""	double	4	5
rxn_11529	"""(22α)-hydroxy-campest-4-en-3-one"""	"""(22R,23R)-22,23-dihydroxycampesterol"""	single	5	6
rxn_11530	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	"""(22α)-hydroxy-campest-4-en-3-one"""	singleR	23	32
rxn_11531	"""6-deoxotyphasterol"""	"""3-epi-6-deoxocathasterone"""	singleR	23	32
rxn_11532	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	"""3-epi-6-deoxocathasterone"""	double	3	31
rxn_11532	"""3-epi-6-deoxocathasterone"""	"""(22S,24R)-22-hydroxy-5α-ergostan-3-one"""	singleS	3	31
rxn_11533	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	"""(22R,23R)-22,23-dihydroxycampesterol"""	double	3	31
rxn_11533	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	"""(22R,23R)-22,23-dihydroxycampesterol"""	double	4	5
rxn_11533	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	"""(22R,23R)-22,23-dihydroxycampesterol"""	single	5	6
rxn_11533	"""(22R,23R)-22,23-dihydroxycampesterol"""	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	double	5	6
rxn_11533	"""(22R,23R)-22,23-dihydroxycampesterol"""	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	single	4	5
rxn_11533	"""(22R,23R)-22,23-dihydroxycampesterol"""	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	singleR	3	31
rxn_11534	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	"""3-dehydro-6-deoxoteasterone"""	double	4	5
rxn_11534	"""3-dehydro-6-deoxoteasterone"""	"""(22R,23R)-22,23-dihydroxy-campest-4-en-3-one"""	single	4	5
rxn_11878	"""4α-methyl-5α-cholesta-8,14,24-trien-3β-ol"""	"""4α-methyl-5α-cholesta-8,24-dien-3β-ol"""	double	14	15
rxn_11878	"""4α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-8,14,24-trien-3β-ol"""	single	14	15
rxn_11884	"""4α-methyl-5α-cholesta-7,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-8,24-dien-3β-ol"""	double	7	8
rxn_11884	"""4α-methyl-5α-cholesta-7,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-8,24-dien-3β-ol"""	single	8	9
rxn_11884	"""4α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-7,24-dien-3β-ol"""	double	8	9
rxn_11884	"""4α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-7,24-dien-3β-ol"""	single	7	8
rxn_11887	"""5α-cholesta-7,24-dienol"""	"""7-dehydrodesmosterol"""	single	5	6
rxn_11887	"""7-dehydrodesmosterol"""	"""5α-cholesta-7,24-dienol"""	double	5	6
rxn_11959	"""4α-carboxy-5α-cholesta-7,24-dien-3β-ol"""	"""5α-cholesta-7,24-dien-3-one"""	double	29	34
rxn_11959	"""4α-carboxy-5α-cholesta-7,24-dien-3β-ol"""	"""5α-cholesta-7,24-dien-3-one"""	single	29	35
rxn_11959	"""4α-carboxy-5α-cholesta-7,24-dien-3β-ol"""	"""5α-cholesta-7,24-dien-3-one"""	singleS	4	28
rxn_12714	"""androst-4-ene-3,17-dione"""	"""androsta-1,4-diene-3,17-dione"""	single	1	2
rxn_12714	"""androsta-1,4-diene-3,17-dione"""	"""androst-4-ene-3,17-dione"""	double	1	2
rxn_21165	"""4α-hydroxymethyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α,14α-dimethyl-5α-cholesta-8,24-dien-3β-ol"""	single	29	34
rxn_21166	"""4α-formyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α-hydroxymethyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	double	29	34
rxn_21166	"""4α-hydroxymethyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α-formyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	single	29	34
rxn_21167	"""4α-formyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-8,14,24-trien-3β-ol"""	double	29	34
rxn_21167	"""4α-formyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	"""4α-methyl-5α-cholesta-8,14,24-trien-3β-ol"""	single	14	15
rxn_21167	"""4α-methyl-5α-cholesta-8,14,24-trien-3β-ol"""	"""4α-formyl-14α-methyl-5α-cholesta-8,24-dien-3β-ol"""	double	14	15
rxn_21829	"""(3β,9β)-4α-demethyl-4α-carboxy-9,19-cyclolanost-24-en-3-ol"""	"""cycloartenol"""	double	29	33
rxn_21829	"""(3β,9β)-4α-demethyl-4α-carboxy-9,19-cyclolanost-24-en-3-ol"""	"""cycloartenol"""	single	29	32
rxn_21830	"""(3β,9β)-4α-demethyl-4α-carboxy-9,19-cyclolanost-24-en-3-ol"""	"""31-norcycloartenone"""	double	29	33
rxn_21830	"""(3β,9β)-4α-demethyl-4α-carboxy-9,19-cyclolanost-24-en-3-ol"""	"""31-norcycloartenone"""	single	29	32
